,rent,location,bedroom,bathroom,toilet,parking
10366,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10367,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10368,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10369,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10370,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10371,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10372,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10373,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10374,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10375,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10376,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10377,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10378,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10381,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10382,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10383,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10384,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10385,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10386,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10387,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10388,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10389,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10390,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
